Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Avg Pace_min,time_in_minutes,year,month,day
Running,2024-06-08 17:48:00,9.19,583.0,2024-08-12 01:00:08,155.0,170.0,182.0,200.0,,,15.0,60.0,0.84,10.0,2024-08-12 01:00:03,2024-08-12 01:00:08,192.0,243.0,,,2024,6,8
Running,2024-01-08 07:51:00,1.01,58.0,2024-08-12 07:32:30,122.0,136.0,176.0,183.0,,,2.0,,0.76,2.0,2024-08-12 00:07:27,2024-08-12 07:32:30,-101.0,-98.0,,,2024,1,8
Running,2024-07-31 07:33:00,9.02,540.0,2024-08-12 01:01:00,143.0,160.0,176.0,183.0,,,33.0,43.0,0.84,10.0,2024-08-12 01:00:57,2024-08-12 01:01:00,-82.0,-59.0,,,2024,7,31
Running,2024-07-29 07:48:00,6.18,406.0,2024-08-12 00:40:37,152.0,171.0,183.0,189.0,,,22.0,32.0,0.83,7.0,2024-08-12 00:40:29,2024-08-12 00:40:37,-17.0,5.0,,,2024,7,29
Running,2024-07-28 07:15:00,5.11,305.0,2024-08-12 00:30:08,150.0,172.0,176.0,183.0,,,34.0,122.0,0.96,6.0,2024-08-12 00:30:06,2024-08-12 00:30:08,-147.0,-31.0,,,2024,7,28
Running,2024-07-27 16:13:00,5.71,408.0,2024-08-12 00:35:23,164.0,192.0,176.0,183.0,,,54.0,50.0,0.92,6.0,2024-08-12 00:35:14,2024-08-12 00:35:23,-63.0,-45.0,,,2024,7,27
Running,2024-07-22 07:16:00,1.09,67.0,2024-08-12 07:46:18,139.0,151.0,175.0,185.0,,,3.0,8.0,0.8,2.0,2024-08-12 00:07:45,2024-08-12 07:46:18,-54.0,163.0,,,2024,7,22
Running,2024-07-21 07:15:00,10.03,628.0,2024-08-12 01:00:21,154.0,169.0,177.0,189.0,,,20.0,71.0,0.94,11.0,2024-08-12 01:00:11,2024-08-12 01:00:21,-100.0,-42.0,,,2024,7,21
Running,2024-07-16 18:18:00,4.63,295.0,2024-08-12 00:30:09,153.0,174.0,177.0,191.0,,,2.0,57.0,0.87,5.0,2024-08-12 00:30:04,2024-08-12 00:30:09,71.0,129.0,,,2024,7,16
Running,2024-07-13 07:30:00,3.84,297.0,2024-08-12 00:40:12,132.0,150.0,132.0,244.0,,,4.0,46.0,0.72,4.0,2024-08-12 00:40:01,2024-08-12 00:40:13,74.0,117.0,,,2024,7,13
Running,2024-12-07 17:00:00,8.02,498.0,2024-08-12 00:53:15,147.0,163.0,183.0,193.0,,,19.0,64.0,0.82,9.0,2024-08-12 00:53:10,2024-08-12 00:53:15,100.0,150.0,,,2024,12,7
Running,2024-11-07 05:32:00,6.0,466.0,2024-08-12 00:41:12,166.0,190.0,173.0,183.0,,,4.0,68.0,0.84,7.0,2024-08-12 00:41:05,2024-08-12 00:41:12,99.0,169.0,,,2024,11,7
Running,2024-08-07 13:15:00,5.03,294.0,2024-08-12 00:42:10,117.0,154.0,132.0,249.0,,,22.0,28.0,0.92,6.0,2024-08-12 00:42:08,2024-08-12 00:42:36,146.0,163.0,,,2024,8,7
Running,2024-06-22 08:20:00,3.01,161.0,2024-08-12 00:16:47,140.0,159.0,178.0,187.0,,,4.0,45.0,1.01,4.0,2024-08-12 00:16:46,2024-08-12 00:16:47,100.0,146.0,,,2024,6,22
Running,2024-06-21 05:49:00,4.11,241.0,2024-08-12 00:23:45,149.0,166.0,182.0,197.0,,,2.0,61.0,0.95,5.0,2024-08-12 00:23:38,2024-08-12 00:23:45,79.0,143.0,,,2024,6,21
Running,2024-06-20 17:47:00,3.29,193.0,2024-08-12 00:18:17,152.0,168.0,183.0,198.0,,,2.0,41.0,0.98,4.0,2024-08-12 00:18:17,2024-08-12 00:18:17,179.0,221.0,,,2024,6,20
Running,2024-06-13 04:07:00,12.01,695.0,2024-08-12 01:09:54,148.0,164.0,178.0,185.0,,,31.0,98.0,0.97,13.0,2024-08-12 01:09:50,2024-08-12 01:09:54,126.0,197.0,,,2024,6,13
Running,2024-12-06 05:02:00,8.02,430.0,2024-08-12 00:46:01,143.0,160.0,183.0,191.0,,,68.0,198.0,0.95,9.0,2024-08-12 00:45:52,2024-08-12 00:46:01,-5.0,184.0,,,2024,12,6
Running,2024-10-06 21:57:00,6.23,299.0,2024-08-12 00:35:16,131.0,152.0,183.0,198.0,,,4.0,75.0,0.96,7.0,2024-08-12 00:35:07,2024-08-12 00:35:16,87.0,165.0,,,2024,10,6
Running,2024-08-06 04:32:00,17.06,987.0,2024-08-12 01:35:41,156.0,170.0,182.0,195.0,,,118.0,215.0,0.98,18.0,2024-08-12 01:35:36,2024-08-12 01:35:41,-11.0,141.0,,,2024,8,6
Running,2024-05-06 05:25:00,4.09,260.0,2024-08-12 00:26:03,154.0,169.0,177.0,185.0,,,7.0,67.0,0.89,5.0,2024-08-12 00:25:58,2024-08-12 00:26:03,91.0,159.0,,,2024,5,6
Running,2024-04-06 04:57:00,11.05,647.0,2024-08-12 01:05:48,152.0,174.0,183.0,191.0,,,21.0,115.0,0.92,12.0,2024-08-12 01:05:42,2024-08-12 01:05:48,52.0,154.0,,,2024,4,6
Running,2024-03-06 17:34:00,4.05,214.0,2024-08-12 00:23:38,135.0,149.0,177.0,187.0,,,2.0,68.0,0.97,5.0,2024-08-12 00:23:32,2024-08-12 00:23:38,88.0,158.0,,,2024,3,6
Running,2024-01-06 04:41:00,14.12,818.0,2024-08-12 01:20:26,152.0,178.0,183.0,195.0,,,36.0,130.0,0.96,15.0,2024-08-12 01:20:21,2024-08-12 01:20:26,21.0,123.0,,,2024,1,6
Running,2024-05-31 05:30:00,6.24,367.0,2024-08-12 00:34:50,155.0,172.0,184.0,198.0,,,7.0,75.0,0.98,7.0,2024-08-12 00:34:40,2024-08-12 00:34:50,17.0,91.0,,,2024,5,31
Running,2024-05-30 05:03:00,9.63,602.0,2024-08-12 00:57:47,155.0,175.0,182.0,191.0,,,9.0,114.0,0.92,10.0,2024-08-12 00:57:40,2024-08-12 00:57:47,-45.0,61.0,,,2024,5,30
Running,2024-05-28 05:03:00,11.03,643.0,2024-08-12 00:58:27,158.0,175.0,180.0,189.0,,,18.0,99.0,1.05,12.0,2024-08-12 00:58:16,2024-08-12 00:58:27,-11.0,78.0,,,2024,5,28
Running,2024-05-24 07:08:00,8.28,453.0,2024-08-12 00:45:14,150.0,168.0,180.0,189.0,,,93.0,301.0,1.02,9.0,2024-08-12 00:45:06,2024-08-12 00:45:14,-63.0,191.0,,,2024,5,24
Running,2024-05-23 05:58:00,4.02,220.0,2024-08-12 00:22:20,152.0,162.0,186.0,197.0,,,13.0,162.0,0.97,5.0,2024-08-12 00:22:13,2024-08-12 00:22:20,70.0,234.0,,,2024,5,23
Running,2024-05-22 05:29:00,7.02,440.0,2024-08-12 00:42:09,156.0,176.0,178.0,185.0,,,13.0,181.0,0.94,8.0,2024-08-12 00:42:00,2024-08-12 00:42:09,8.0,190.0,,,2024,5,22
Running,2024-05-21 05:11:00,3.24,179.0,2024-08-12 00:19:35,143.0,159.0,183.0,195.0,,,,164.0,0.9,4.0,2024-08-12 00:19:33,2024-08-12 00:19:35,-21.0,147.0,,,2024,5,21
Running,2024-05-19 05:32:00,10.11,534.0,2024-08-12 00:49:49,156.0,170.0,178.0,191.0,,,135.0,217.0,1.14,11.0,2024-08-12 00:49:44,2024-08-12 00:49:49,46.0,150.0,,,2024,5,19
Running,2024-05-16 20:44:00,6.04,351.0,2024-08-12 00:37:16,143.0,164.0,176.0,195.0,,,4.0,84.0,0.92,7.0,2024-08-12 00:37:14,2024-08-12 00:37:16,91.0,169.0,,,2024,5,16
Running,2024-05-15 06:08:00,4.59,280.0,2024-08-12 00:27:59,152.0,168.0,179.0,187.0,,,2.0,85.0,0.92,5.0,2024-08-12 00:27:58,2024-08-12 00:27:59,69.0,157.0,,,2024,5,15
Running,2024-05-14 07:09:00,7.31,397.0,2024-08-12 00:41:24,143.0,168.0,184.0,195.0,,,13.0,75.0,0.96,8.0,2024-08-12 00:41:21,2024-08-12 00:41:24,85.0,154.0,,,2024,5,14
Running,2024-05-13 05:06:00,7.54,471.0,2024-08-12 00:46:27,152.0,176.0,185.0,195.0,,,24.0,98.0,0.88,8.0,2024-08-12 00:46:26,2024-08-12 00:46:27,67.0,149.0,,,2024,5,13
Running,2024-09-05 07:01:00,2.17,105.0,2024-08-12 00:11:22,138.0,158.0,176.0,193.0,,,6.0,66.0,1.08,3.0,2024-08-12 00:11:22,2024-08-12 00:11:22,864.0,927.0,,,2024,9,5
Running,2024-07-05 04:35:00,15.34,881.0,2024-08-12 01:26:29,151.0,176.0,181.0,195.0,,,56.0,125.0,0.98,16.0,2024-08-12 01:26:21,2024-08-12 01:26:29,255.0,337.0,,,2024,7,5
Running,2024-06-05 17:25:00,5.17,297.0,2024-08-12 00:28:38,151.0,166.0,175.0,187.0,,,7.0,77.0,1.03,6.0,2024-08-12 00:28:36,2024-08-12 00:28:38,269.0,344.0,,,2024,6,5
Running,2024-05-05 05:00:00,5.32,317.0,2024-08-12 00:32:41,148.0,167.0,182.0,191.0,,,15.0,96.0,0.89,6.0,2024-08-12 00:32:38,2024-08-12 00:32:41,187.0,288.0,,,2024,5,5
Running,2024-03-05 04:56:00,12.02,722.0,2024-08-12 01:09:45,153.0,170.0,180.0,189.0,,,40.0,120.0,0.96,13.0,2024-08-12 01:09:40,2024-08-12 01:09:45,137.0,220.0,,,2024,3,5
Running,2024-02-05 07:11:00,6.18,334.0,2024-08-12 00:34:52,143.0,157.0,179.0,189.0,,,19.0,152.0,0.99,7.0,2024-08-12 00:34:50,2024-08-12 00:34:52,72.0,211.0,,,2024,2,5
Running,2024-01-05 05:02:00,7.06,404.0,2024-08-12 00:43:13,141.0,163.0,181.0,187.0,,,23.0,98.0,0.9,8.0,2024-08-12 00:43:03,2024-08-12 00:43:13,148.0,224.0,,,2024,1,5
Running,2024-04-30 04:20:00,7.36,441.0,2024-08-12 00:43:34,149.0,164.0,184.0,193.0,,,24.0,83.0,0.92,8.0,2024-08-12 00:43:32,2024-08-12 00:43:34,126.0,196.0,,,2024,4,30
Running,2024-04-26 05:01:00,8.08,504.0,2024-08-12 00:48:37,155.0,172.0,178.0,191.0,,,43.0,177.0,0.93,9.0,2024-08-12 00:48:34,2024-08-12 00:48:37,12.0,154.0,,,2024,4,26
Running,2024-04-25 04:21:00,16.27,,2024-08-12 01:34:07,165.0,193.0,177.0,187.0,,,65.0,151.0,0.97,17.0,2024-08-12 01:34:01,2024-08-12 01:34:07,72.0,156.0,,,2024,4,25
Running,2024-04-24 05:03:00,7.06,413.0,2024-08-12 00:39:24,152.0,176.0,183.0,191.0,,,24.0,87.0,0.98,8.0,2024-08-12 00:39:21,2024-08-12 00:39:24,18.0,103.0,,,2024,4,24
Running,2024-04-23 04:56:00,11.02,627.0,2024-08-12 01:01:10,152.0,169.0,182.0,191.0,,,46.0,110.0,0.99,12.0,2024-08-12 01:01:02,2024-08-12 01:01:10,68.0,136.0,,,2024,4,23
Running,2024-04-22 17:53:00,6.17,337.0,2024-08-12 00:33:21,148.0,164.0,177.0,197.0,,,21.0,84.0,1.04,7.0,2024-08-12 00:33:17,2024-08-12 00:33:21,75.0,151.0,,,2024,4,22
Running,2024-04-20 05:55:00,4.12,233.0,2024-08-12 00:23:57,147.0,170.0,175.0,189.0,,,,84.0,0.98,5.0,2024-08-12 00:23:56,2024-08-12 00:23:57,29.0,118.0,,,2024,4,20
Running,2024-04-19 05:01:00,14.07,826.0,2024-08-12 01:20:07,154.0,167.0,172.0,181.0,,,43.0,137.0,1.02,15.0,2024-08-12 01:19:56,2024-08-12 01:20:07,8.0,106.0,,,2024,4,19
Running,2024-04-18 04:59:00,8.34,457.0,2024-08-12 00:44:30,152.0,170.0,177.0,189.0,,,11.0,112.0,1.06,9.0,2024-08-12 00:44:24,2024-08-12 00:44:30,44.0,146.0,,,2024,4,18
Running,2024-04-17 06:15:00,5.02,274.0,2024-08-12 00:27:37,149.0,158.0,180.0,189.0,,,4.0,94.0,1.01,6.0,2024-08-12 00:27:34,2024-08-12 00:27:37,48.0,139.0,,,2024,4,17
Running,2024-04-16 22:01:00,2.44,159.0,2024-08-12 00:16:29,152.0,179.0,166.0,173.0,,,,70.0,0.89,3.0,2024-08-12 00:16:29,2024-08-12 00:16:29,108.0,181.0,,,2024,4,16
Running,2024-04-15 05:16:00,10.7,566.0,2024-08-12 00:59:32,144.0,164.0,178.0,187.0,,,22.0,207.0,1.01,11.0,2024-08-12 00:59:25,2024-08-12 00:59:32,-44.0,147.0,,,2024,4,15
Running,2024-04-14 21:16:00,4.11,289.0,2024-08-12 00:26:09,163.0,183.0,168.0,181.0,,,2.0,82.0,0.94,5.0,2024-08-12 00:26:07,2024-08-12 00:26:09,65.0,147.0,,,2024,4,14
Running,2024-04-13 07:43:00,8.05,441.0,2024-08-12 00:46:25,144.0,163.0,172.0,185.0,,,34.0,71.0,1.01,9.0,2024-08-12 00:46:22,2024-08-12 00:46:25,135.0,182.0,,,2024,4,13
Running,2024-11-04 18:29:00,5.39,280.0,2024-08-12 00:31:01,136.0,158.0,174.0,195.0,,,10.0,74.0,1.0,6.0,2024-08-12 00:30:55,2024-08-12 00:31:01,79.0,145.0,,,2024,11,4
Running,2024-09-04 05:19:00,10.25,595.0,2024-08-12 00:56:04,155.0,169.0,178.0,187.0,,,68.0,221.0,1.03,11.0,2024-08-12 00:55:52,2024-08-12 00:56:04,-62.0,97.0,,,2024,9,4
Running,2024-06-04 05:24:00,6.39,369.0,2024-08-12 00:37:11,148.0,171.0,177.0,187.0,,,11.0,91.0,0.97,7.0,2024-08-12 00:37:05,2024-08-12 00:37:11,52.0,137.0,,,2024,6,4
Running,2024-05-04 05:07:00,8.27,507.0,2024-08-12 00:47:55,157.0,169.0,177.0,185.0,,,24.0,76.0,0.98,9.0,2024-08-12 00:47:50,2024-08-12 00:47:55,2.0,58.0,,,2024,5,4
Running,2024-04-04 05:12:00,6.52,394.0,2024-08-12 00:39:30,147.0,162.0,177.0,187.0,,,53.0,186.0,0.93,7.0,2024-08-12 00:39:25,2024-08-12 00:39:30,-9.0,155.0,,,2024,4,4
Running,2024-03-28 05:01:00,14.03,794.0,2024-08-12 01:18:06,152.0,167.0,178.0,193.0,,,48.0,181.0,1.01,15.0,2024-08-12 01:17:56,2024-08-12 01:18:06,-24.0,109.0,,,2024,3,28
Running,2024-03-26 05:07:00,8.14,468.0,2024-08-12 00:48:56,144.0,160.0,175.0,187.0,,,34.0,193.0,0.95,9.0,2024-08-12 00:48:45,2024-08-12 00:48:56,2.0,174.0,,,2024,3,26
Running,2024-03-25 05:19:00,8.29,437.0,2024-08-12 00:46:52,140.0,159.0,177.0,191.0,,,20.0,150.0,1.0,9.0,2024-08-12 00:46:49,2024-08-12 00:46:52,-4.0,124.0,,,2024,3,25
Running,2024-03-24 21:01:00,8.87,479.0,2024-08-12 00:49:32,144.0,165.0,176.0,193.0,,,16.0,140.0,1.02,9.0,2024-08-12 00:49:22,2024-08-12 00:49:32,-40.0,89.0,,,2024,3,24
Running,2024-03-23 07:04:00,6.27,387.0,2024-08-12 00:36:21,155.0,169.0,172.0,181.0,,,19.0,79.0,1.0,7.0,2024-08-12 00:36:11,2024-08-12 00:36:21,-30.0,34.0,,,2024,3,23
Running,2024-03-22 06:13:00,1.66,84.0,2024-08-12 09:51:06,132.0,146.0,174.0,189.0,,,2.0,44.0,0.97,2.0,2024-08-12 00:09:45,2024-08-12 09:51:06,60.0,106.0,,,2024,3,22
Running,2024-03-20 06:33:00,8.37,513.0,2024-08-12 00:48:51,154.0,167.0,170.0,179.0,,,30.0,182.0,1.01,9.0,2024-08-12 00:48:22,2024-08-12 00:48:51,-5.0,147.0,,,2024,3,20
Running,2024-03-18 21:35:00,6.29,377.0,2024-08-12 00:36:37,151.0,181.0,174.0,188.0,,,26.0,57.0,0.99,7.0,2024-08-12 00:36:36,2024-08-12 00:36:37,-101.0,-64.0,,,2024,3,18
Running,2024-03-17 21:25:00,5.39,298.0,2024-08-12 00:31:57,138.0,154.0,173.0,198.0,,,27.0,42.0,0.97,6.0,2024-08-12 00:31:52,2024-08-12 00:31:57,-97.0,-69.0,,,2024,3,17
Running,2024-03-15 07:34:00,6.02,358.0,2024-08-12 00:32:55,155.0,186.0,168.0,177.0,,,14.0,61.0,1.09,7.0,2024-08-12 00:32:54,2024-08-12 00:32:55,-38.0,16.0,,,2024,3,15
Running,2024-03-13 21:36:00,10.02,535.0,2024-08-12 00:53:40,145.0,165.0,171.0,181.0,,,71.0,30.0,1.09,11.0,2024-08-12 00:53:29,2024-08-12 00:53:40,-78.0,-3.0,,,2024,3,13
Running,2024-09-03 06:28:00,16.24,868.0,2024-08-12 01:30:44,148.0,168.0,177.0,191.0,,,73.0,91.0,1.01,17.0,2024-08-12 01:30:33,2024-08-12 01:30:44,-74.0,-28.0,,,2024,9,3
Running,2024-08-03 07:29:00,10.13,636.0,2024-08-12 00:59:45,156.0,176.0,175.0,189.0,,,55.0,90.0,0.97,11.0,2024-08-12 00:59:12,2024-08-12 00:59:45,-34.0,10.0,,,2024,8,3
Running,2024-05-03 22:00:00,5.54,297.0,2024-08-12 00:32:12,139.0,155.0,168.0,181.0,,,13.0,58.0,1.02,6.0,2024-08-12 00:32:09,2024-08-12 00:32:12,3.0,52.0,,,2024,5,3
Running,2024-02-29 07:05:00,8.02,515.0,2024-08-12 00:49:21,155.0,185.0,166.0,181.0,,,47.0,186.0,0.98,9.0,2024-08-12 00:47:51,2024-08-12 00:49:21,0.0,149.0,,,2024,2,29
Running,2024-02-28 17:51:00,5.26,301.0,2024-08-12 00:29:49,150.0,162.0,169.0,181.0,,,10.0,53.0,1.04,6.0,2024-08-12 00:29:26,2024-08-12 00:29:49,92.0,140.0,,,2024,2,28
Running,2024-02-27 06:20:00,10.04,602.0,2024-08-12 00:58:31,150.0,167.0,171.0,185.0,,,72.0,125.0,1.0,11.0,2024-08-12 00:58:21,2024-08-12 00:58:31,22.0,128.0,,,2024,2,27
Running,2024-02-25 06:36:00,8.02,430.0,2024-08-12 00:52:56,133.0,153.0,178.0,189.0,,,16.0,58.0,0.85,9.0,2024-08-12 00:52:46,2024-08-12 00:52:56,-51.0,4.0,,,2024,2,25
Running,2024-02-24 07:01:00,15.12,972.0,2024-08-12 01:28:08,160.0,190.0,173.0,183.0,,,75.0,153.0,0.99,16.0,2024-08-12 01:27:55,2024-08-12 01:28:08,-95.0,-10.0,,,2024,2,24
Running,2024-02-21 21:29:00,6.02,370.0,2024-08-12 00:36:13,151.0,165.0,177.0,187.0,,,25.0,56.0,0.94,7.0,2024-08-12 00:36:06,2024-08-12 00:36:13,88.0,127.0,,,2024,2,21
Running,2024-02-20 20:55:00,8.09,496.0,2024-08-12 00:45:43,156.0,171.0,175.0,193.0,,,19.0,46.0,1.01,9.0,2024-08-12 00:45:35,2024-08-12 00:45:43,107.0,144.0,,,2024,2,20
Running,2024-02-17 07:57:00,7.1,390.0,2024-08-12 00:39:34,145.0,162.0,177.0,193.0,,,25.0,59.0,1.02,8.0,2024-08-12 00:39:29,2024-08-12 00:39:34,137.0,189.0,,,2024,2,17
Running,2024-02-15 17:13:00,5.43,319.0,2024-08-12 00:30:39,151.0,177.0,171.0,181.0,,,14.0,38.0,1.04,6.0,2024-08-12 00:30:38,2024-08-12 00:30:39,169.0,196.0,,,2024,2,15
Running,2024-02-14 05:20:00,6.23,351.0,2024-08-12 00:34:33,147.0,171.0,176.0,191.0,,,15.0,60.0,1.02,7.0,2024-08-12 00:34:24,2024-08-12 00:34:33,153.0,205.0,,,2024,2,14
Running,2024-09-02 19:39:00,10.13,631.0,2024-08-12 01:00:13,155.0,171.0,174.0,196.0,,,57.0,103.0,0.97,11.0,2024-08-12 01:00:03,2024-08-12 01:00:13,33.0,88.0,,,2024,9,2
Running,2024-07-02 19:47:00,5.3,343.0,2024-08-12 00:37:57,143.0,167.0,167.0,175.0,,,24.0,87.0,0.83,6.0,2024-08-12 00:37:50,2024-08-12 00:37:57,45.0,114.0,,,2024,7,2
Running,2024-06-02 06:27:00,6.32,445.0,2024-08-12 00:37:06,166.0,179.0,178.0,193.0,,,7.0,79.0,0.96,7.0,2024-08-12 00:37:04,2024-08-12 00:37:06,51.0,132.0,,,2024,6,2
Running,2024-05-02 07:02:00,4.52,288.0,2024-08-12 00:25:47,155.0,181.0,178.0,191.0,,,5.0,181.0,0.98,5.0,2024-08-12 00:25:45,2024-08-12 00:25:47,-15.0,146.0,,,2024,5,2
Running,2024-01-30 20:40:00,5.55,310.0,2024-08-12 00:31:11,142.0,160.0,175.0,200.0,,,37.0,73.0,1.01,6.0,2024-08-12 00:31:03,2024-08-12 00:31:11,52.0,104.0,,,2024,1,30
Running,2024-01-27 07:35:00,5.53,294.0,2024-08-12 00:29:20,142.0,156.0,182.0,197.0,,,16.0,51.0,1.03,6.0,2024-08-12 00:29:13,2024-08-12 00:29:20,104.0,145.0,,,2024,1,27
